Date,Opponent,Competition,Goals For,Goals Against,Possession ,Shots,Opp Shots,Passes Completed,Possession Minutes,Contested Possession,Opp Possession Minutes,"Competition Adjustment (1 = Playoffs, 2 = MLS Flex Event, 3 = Team Sucks)",Goal Differential,Win/Loss/Draw Adjustment,Total Possession,Passes per Minute (in Possession)
9/30/2023,U15 Met Oval,MLS Next,2,3,55%,20,15,191,16,54,13,2,-1,0,83,2.30
9/30/2023,U16 Met Oval,MLS Next,4,0,49%,20,11,233,17,58,18,2,4,1,93,2.51
9/30/2023,U17 Met Oval,MLS Next,3,1,40%,11,19,155,12,64,18,2,2,1,94,1.65
9/30/2023,U19 Met Oval,MLS Next,3,3,37%,19,19,171,13,59,23,2,0,0.5,95,1.80
10/14/2023,U15 Bayside,MLS Next,2,1,53%,31,2,228,17,51,15,2,1,1,83,2.75
10/14/2023,U19 Bayside,MLS Next,2,2,54%,13,18,254,19,59,17,2,0,0.5,95,2.67
10/14/2023,U16 Bayside,MLS Next,3,1,68%,13,11,351,24,58,11,2,2,1,93,3.77
10/14/2023,U13 Bayside,MLS Next,0,1,66%,2,10,208,16,49,8,2,-1,0,73,2.85
10/14/2023,U14 Bayside,MLS Next,5,0,57%,11,6,227,16,54,11,2,5,1,81,2.80
10/14/2023,U17 Bayside,MLS Next,1,0,53%,14,11,219,16,63,16,2,1,1,95,2.31
10/28/2023,U15 NEFC,MLS Next,1,4,58%,11,14,167,13,62,10,2,-3,0,85,1.96
10/28/2023,U13 NEFC,MLS Next,3,2,51%,10,9,148,11,51,11,2,1,1,73,2.03
10/28/2023,U17 NEFC,MLS Next,1,2,43%,2,19,152,12,75,16,2,-1,0,103,1.48
10/28/2023,U16 NEFC,MLS Next,4,3,62%,18,7,223,17,65,12,2,1,1,94,2.37
10/28/2023,U19 NEFC,MLS Next,0,0,51%,10,15,241,20,55,19,2,0,0.5,94,2.56
10/28/2023,U14 NEFC,MLS Next,4,0,53%,18,6,204,15,52,13,2,4,1,80,2.55
11/4/2023,U14 Beachside,MLS Next,4,2,50%,15,10,261,17,47,18,2,2,1,82,3.18
11/4/2023,U13 Beachside,MLS Next,1,1,52%,6,12,180,13,44,13,2,0,0.5,70,2.57
11/5/2023,U15 Seacoast,MLS Next,1,3,67%,12,9,193,14,48,8,2,-2,0,70,2.76
11/5/2023,U17 Seacoast,MLS Next,4,0,48%,21,12,228,16,58,18,2,4,1,92,2.48
11/5/2023,U14 Seacoast,MLS Next,5,0,81%,12,1,332,25,50,5,2,5,1,80,4.15
11/5/2023,U19 Seacoast,MLS Next,3,4,57%,11,9,173,12,52,10,2,-1,0,74,2.34
11/5/2023,U13 Seacoast,MLS Next,1,3,75%,9,15,220,16,49,6,2,-2,0,71,3.10
11/11/2023,U15 Beachside,MLS Next,1,1,56%,11,4,160,12,43,10,2,0,0.5,65,2.46
11/11/2023,U16 Beachside,MLS Next,0,3,60%,7,8,307,21,52,15,2,-3,0,88,3.49
11/11/2023,U17 Beachside,MLS Next,0,4,56%,7,10,247,18,61,13,2,-4,0,92,2.68
11/11/2023,U19 Beachside,MLS Next,0,2,43%,4,15,185,14,60,19,2,-2,0,93,1.99
11/18/2023,U13 FA Euro,MLS Next,3,1,68%,15,3,220,19,47,8,2,2,1,74,2.97
11/19/2023,U13 Oakwood,MLS Next,4,1,60%,8,4,212,14,47,10,3,3,1,71,2.99
11/19/2023,U14 Oakwood,MLS Next,10,1,64%,27,5,248,18,53,10,3,9,1,81,3.06
11/19/2023,U16 Oakwood,MLS Next,5,0,75%,31,5,421,28,53,9,3,5,1,90,4.68
11/19/2023,U17 Oakwood,MLS Next,2,0,61%,21,6,281,22,60,14,3,2,1,96,2.93
